source,normalized_source,classification,decision,total_chunks,searchable_chunks,legacy_quarantined_chunks,staging_chunks,drive_file_ids,drive_paths,live_drive_file_ids,missing_from_live_drive_ids,manifest_missing_ids,manifest_without_live_drive_ids,manifest_states,job_states,same_normalized_name_peers,exact_chunk_hash_overlap,exact_chunk_overlap_ratio,legacy_fingerprint_sha256,managed_fingerprint_sha256
anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1,anestesia_protocolo_assistencial_anestesia_artigo_relae_2017_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,73,73,0,0,1lyRAPNXfNubucSWp6tbrE_fjNCFh3fTd,ROOT/enfermagem_perioperatoria/anestesia/anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1,1lyRAPNXfNubucSWp6tbrE_fjNCFh3fTd,,,,active,,anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1.pdf,0,0.0000,,b3e5c27384e84fe88f6580e81deba7d211e7cea19fceedd4129eb583b74a1f9f
anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1.pdf,anestesia_protocolo_assistencial_anestesia_artigo_relae_2017_v1,PENDENTE_DE_CONFIRMAÇÃO,Possível duplicata por nome normalizado; comparar conteúdo com os pares antes de excluir.,96,0,96,0,,,,,,,,,anestesia__protocolo_assistencial_anestesia__artigo__relae__2017__v1,0,0.0000,ecbc379dcc999b51db2515e5fb622069f72400083c929e06e33f73ad0dba40e0,
anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1,anestesia_resumo_anestesia_resumo_aula_ufsc_nao_disponivel_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,12,12,0,0,1rPHkdjmqyCHJYZZBJuYbFpTkSXo1gItE,ROOT/enfermagem_perioperatoria/anestesia/anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1,1rPHkdjmqyCHJYZZBJuYbFpTkSXo1gItE,,,,active,,anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1.pdf,0,0.0000,,b2ed2b7cc79da72ec7e1800757e6001d54f6be52393bb0060d1e661eeef53f01
anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1.pdf,anestesia_resumo_anestesia_resumo_aula_ufsc_nao_disponivel_v1,PENDENTE_DE_CONFIRMAÇÃO,Possível duplicata por nome normalizado; comparar conteúdo com os pares antes de excluir.,23,0,23,0,,,,,,,,,anestesia__resumo_anestesia__resumo_aula__ufsc__nao_disponivel__v1,0,0.0000,457ce9863bfb1e44cfe5a07764d6313b9d88b017daf45bed267cf96fbcba0b55,
biblioteca__cardiologia_pratica_clinica__livro__socerj__2012__v1.pdf,biblioteca_cardiologia_pratica_clinica_livro_socerj_2012_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,4734,4734,0,0,1uLOguHlm-IuiJ7nqv-j7m1u7bKPTm3cx,ROOT/enfermagem_perioperatoria/biblioteca/biblioteca__cardiologia_pratica_clinica__livro__socerj__2012__v1.pdf,1uLOguHlm-IuiJ7nqv-j7m1u7bKPTm3cx,,,,active,,,0,0.0000,,e91bfe0718ac6c2693debba8df9a36ec6d6bb3438b5f12fd5b60680d16463545
biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1,biblioteca_clinica_cirurgica_resumo_medcel_sem_data_v1,ATIVO,Manter pesquisável; validar inventário e conteúdo.,780,780,0,0,1uC-_-TFRVx4pPW90wwfm0nS8CzkzdcMY,ROOT/enfermagem_perioperatoria/biblioteca/biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1,1uC-_-TFRVx4pPW90wwfm0nS8CzkzdcMY,,,,active,,biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1.pdf,0,0.0000,,eb683bb2524d006b011679e83ba8e09cc049b221d6fc699974edc44a25e82d8a
biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1.pdf,biblioteca_clinica_cirurgica_resumo_medcel_sem_data_v1,PENDENTE_DE_CONFIRMAÇÃO,Possível duplicata por nome normalizado; comparar conteúdo com os pares antes de excluir.,528,0,528,0,,,,,,,,,biblioteca__clinica_cirurgica__resumo__medcel__sem_data__v1,0,0.0000,782edfc6b6d55e484a73ad566d6fcfa934eaf7fd4038c33b266db4643a52899a,
biblioteca__cuidados_criticos_enfermagem__livro__patricia_morton_and_dorrie_fontaine__2011__v9.pdf,biblioteca_cuidados_criticos_enfermagem_livro_patricia_morton_and_dorrie_fontaine_2011_v9,PENDENTE_DE_CONFIRMAÇÃO,Aguardar conclusão atômica do job; staging não é pesquisável.,13443,0,11883,1560,19X545ckd-ZnfYbo73Tz2glTklUiDA9qd,ROOT/enfermagem_perioperatoria/biblioteca/biblioteca__cuidados_criticos_enfermagem__livro__patricia_morton_and_dorrie_fontaine__2011__v9.pdf,19X545ckd-ZnfYbo73Tz2glTklUiDA9qd,,,,error,changed:running,,0,0.0000,251ca842535aeb62b41d47c6fc08fb6f1b81050028e21398ded0ca9747679662,0381885c7211f26c2e52f3ddf42333cf2d273e93b3fe0963654935c69b7a440d
biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12,biblioteca_diagnosticos_enfermagem_definicoes_classificacao_livro_nanda_2023_v12,ATIVO,Manter pesquisável; validar inventário e conteúdo.,1195,1195,0,0,18vXR395kiMezxuA4TcaQQJUmwOUsq8Bb,ROOT/enfermagem_perioperatoria/biblioteca/biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12,18vXR395kiMezxuA4TcaQQJUmwOUsq8Bb,,,,active,new:succeeded,biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12.pdf,0,0.0000,,85321516971a24fe1b49837af447a58f3547435c86d3d1ccb8d1bf20f1d111e1
biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12.pdf,biblioteca_diagnosticos_enfermagem_definicoes_classificacao_livro_nanda_2023_v12,PENDENTE_DE_CONFIRMAÇÃO,Possível duplicata por nome normalizado; comparar conteúdo com os pares antes de excluir.,757,0,757,0,,,,,,,,,biblioteca__diagnosticos_enfermagem_definicoes_classificacao__livro__nanda__2023__v12,0,0.0000,1ef3101ee0e3e37bbad2baba072369dbf4f619d60d930d3a8af9da256abd8f0a,
